Loc_ID,latitude,longitude,date,minimum temperature,maximum temperature,GDD,accmulated GDD,daylength
-12.038055_-55.5397222_2018-12-06,-12.03055,-55.5397222,12/6/2018,21.66,30.30,,,
-12.038055_-55.5397222_2018-12-06,,,12/7/2018,22.17,30.67,,,
-12.038055_-55.5397222_2018-12-06,,,12/8/2018,22.13,27.91,,,
-12.038055_-55.5397222_2018-12-06,,,12/9/2018,22.81,27.39,,,
-12.038055_-55.5397222_2018-12-06,,,12/10/2018,21.96,26.60,,,
-12.038055_-55.5397222_2018-12-06,,,12/11/2018,22.18,30.78,,,
-12.038055_-55.5397222_2018-12-06,,,12/12/2018,22.24,32.38,,,
-12.038055_-55.5397222_2018-12-06,,,12/13/2018,20.81,30.05,,,
-12.038055_-55.5397222_2018-12-06,,,12/14/2018,20.40,31.94,,,
-12.038055_-55.5397222_2018-12-06,,,12/15/2018,21.21,32.13,,,
-12.038055_-55.5397222_2018-12-06,,,12/16/2018,20.42,32.90,,,
-12.038055_-55.5397222_2018-12-06,,,12/17/2018,19.80,33.12,,,
-12.038055_-55.5397222_2018-12-06,,,12/18/2018,20.90,29.59,,,
-12.038055_-55.5397222_2018-12-06,,,12/19/2018,20.44,32.70,,,
-12.038055_-55.5397222_2018-12-06,,,12/20/2018,21.55,31.69,,,
-12.038055_-55.5397222_2018-12-06,,,12/21/2018,21.11,31.23,,,
-12.038055_-55.5397222_2018-12-06,,,12/22/2018,21.49,33.29,,,
-12.038055_-55.5397222_2018-12-06,,,12/23/2018,21.55,30.37,,,
-12.038055_-55.5397222_2018-12-06,,,12/24/2018,20.86,30.50,,,
-12.038055_-55.5397222_2018-12-06,,,12/25/2018,22.73,31.45,,,
-12.038055_-55.5397222_2018-12-06,,,12/26/2018,21.62,29.35,,,
-12.038055_-55.5397222_2018-12-06,,,12/27/2018,22.43,29.53,,,
-12.038055_-55.5397222_2018-12-06,,,12/28/2018,21.89,28.58,,,
-12.038055_-55.5397222_2018-12-06,,,12/29/2018,20.64,28.31,,,
-12.038055_-55.5397222_2018-12-06,,,12/30/2018,22.01,28.13,,,
-12.038055_-55.5397222_2018-12-06,,,12/31/2018,21.78,28.05,,,
-12.038055_-55.5397222_2018-12-06,,,1/1/2019,21.71,27.97,,,
-12.038055_-55.5397222_2018-12-06,,,1/2/2019,21.04,29.88,,,
-12.038055_-55.5397222_2018-12-06,,,1/3/2019,20.36,32.71,,,
-12.038055_-55.5397222_2018-12-06,,,1/4/2019,21.72,30.06,,,
-12.038055_-55.5397222_2018-12-06,,,1/5/2019,21.01,30.33,,,
-12.038055_-55.5397222_2018-12-06,,,1/6/2019,22.14,30.45,,,
-12.038055_-55.5397222_2018-12-06,,,1/7/2019,21.69,26.81,,,
-12.038055_-55.5397222_2018-12-06,,,1/8/2019,21.40,31.37,,,
-12.038055_-55.5397222_2018-12-06,,,1/9/2019,20.62,31.75,,,
-12.038055_-55.5397222_2018-12-06,,,1/10/2019,20.83,29.43,,,
-12.038055_-55.5397222_2018-12-06,,,1/11/2019,20.22,28.78,,,
-12.038055_-55.5397222_2018-12-06,,,1/12/2019,21.15,31.87,,,
-12.038055_-55.5397222_2018-12-06,,,1/13/2019,21.42,31.89,,,
-12.038055_-55.5397222_2018-12-06,,,1/14/2019,20.36,28.30,,,
-12.038055_-55.5397222_2018-12-06,,,1/15/2019,20.19,31.40,,,
-12.038055_-55.5397222_2018-12-06,,,1/16/2019,21.30,33.49,,,
-12.038055_-55.5397222_2018-12-06,,,1/17/2019,22.23,34.93,,,
-12.038055_-55.5397222_2018-12-06,,,1/18/2019,20.97,31.13,,,
-12.038055_-55.5397222_2018-12-06,,,1/19/2019,20.83,33.94,,,
-12.038055_-55.5397222_2018-12-06,,,1/20/2019,20.19,31.86,,,
-12.038055_-55.5397222_2018-12-06,,,1/21/2019,20.98,33.43,,,
-12.038055_-55.5397222_2018-12-06,,,1/22/2019,22.35,33.29,,,
-12.038055_-55.5397222_2018-12-06,,,1/23/2019,21.55,32.29,,,
-12.038055_-55.5397222_2018-12-06,,,1/24/2019,21.99,33.21,,,
-12.038055_-55.5397222_2018-12-06,,,1/25/2019,22.10,32.55,,,
-12.038055_-55.5397222_2018-12-06,,,1/26/2019,22.36,29.81,,,
-12.038055_-55.5397222_2018-12-06,,,1/27/2019,20.41,26.53,,,
-12.038055_-55.5397222_2018-12-06,,,1/28/2019,21.72,22.87,,,
-12.038055_-55.5397222_2018-12-06,,,1/29/2019,20.78,24.26,,,
-12.038055_-55.5397222_2018-12-06,,,1/30/2019,21.16,33.75,,,
-12.038055_-55.5397222_2018-12-06,,,1/31/2019,21.63,33.00,,,
-12.038055_-55.5397222_2018-12-06,,,2/1/2019,22.15,33.51,,,
-12.038055_-55.5397222_2018-12-06,,,2/2/2019,20.36,33.53,,,
-12.038055_-55.5397222_2018-12-06,,,2/3/2019,21.68,32.99,,,
-12.038055_-55.5397222_2018-12-06,,,2/4/2019,21.61,34.30,,,
-12.038055_-55.5397222_2018-12-06,,,2/5/2019,21.77,34.80,,,
-12.038055_-55.5397222_2018-12-06,,,2/6/2019,22.04,31.04,,,
-12.038055_-55.5397222_2018-12-06,,,2/7/2019,22.59,31.02,,,
-12.038055_-55.5397222_2018-12-06,,,2/8/2019,21.07,29.45,,,
-12.038055_-55.5397222_2018-12-06,,,2/9/2019,22.32,30.45,,,
-12.038055_-55.5397222_2018-12-06,,,2/10/2019,22.15,31.62,,,
-12.038055_-55.5397222_2018-12-06,,,2/11/2019,22.67,32.37,,,
-12.038055_-55.5397222_2018-12-06,,,2/12/2019,22.53,31.93,,,
